LISTA DE REQUISITOS FUNCIONAIS ;;;;;
;;;;;
GRUPO: JVL Sistemas;;;;;
DATA: 03/09/2026;;;;;
;;;;;
** Prioridade: Alta (Muito Importante), Média (Importante), Baixa (Não tão importante);;;;;
;;;;;
;;;;;
;;;;;essa coluna SOMENTEé se tem extend ou include - os requisitos não são sequenciais - acertar
Código;Nome;Descrição;Perfil de Usuário;Prioridade (Alta, Média, Baixa);Requisito(s) que é  (são) executado(s) ou pode(m) ser executado(s) na sequência (INCLUDE OU EXTEND)
RF01;Fazer login;Permite ao usuário acessar o sistema apos autenticação.;Todos;Alta;
RF02;Recuperar Senha;Permite redefinir a senha caso o usuário tenha esquecido.;Todos;Média;Pode executar o RF01
RF03;Gerenciar Professor;Permite realizar o CRUD dos dados dos docentes e gerenciar acessos.;Secretaria;Alta;
RF04;Gerenciar Curso/Nível;Permite cadastrar e alterar as modalidades e níveis de inglês.;Secretaria;Média;
RF05;Gerenciar Aluno;Permite realizar o CRUD (Cadastrar, Consultar, Alterar e Inativar) de alunos.;Secretaria;Alta;
RF06;Matricular Aluno;Permite vincular um aluno previamente cadastrado a uma turma.;Secretaria;Alta;Deve executar o RF05
RF07;Transferir Aluno;Permite alterar o vínculo de turma de um aluno já matriculado.;Secretaria;Média;Deve executar o RF05
RF08;Gerenciar Salas;Permite realizar o CRUD das salas físicas e definir capacidades máximas.;Secretaria;Alta;
RF09;Gerenciar Turma;Permite realizar o CRUD de turmas, vinculando curso, sala e professor.;Secretaria;Alta;
RF10;Gerenciar Calendário;Permite gerenciar a grade de aulas e travar conflitos de horários.;Secretaria;Alta;Deve executar o RF09
RF11;Lançar Frequência;Permite ao corpo docente registrar presenças e faltas no diário de classe.;Professor;Alta;
RF12;Consultar Frequência;Permite buscar e visualizar o histórico de faltas (Dashboard).;Todos;Alta;
RF13;Justificar Falta;Permite registrar atestado médico ou motivo de uma ausência.;Secretaria;Média;Pode executar o RF12
RF14;Emitir Relatórios;Gera documentos consolidados (ex: alunos matriculados, faltas).;Secretaria;Baixa;
RF15;Gerenciar Acessos;Permite definir e restringir as permissões de visualização e edição de cada usuário.;Secretaria;Alta;Deve executar o RF03 e RF05
RF16;Fazer Logout;Permite encerrar a sessão no sistema com segurança.;Todos;Alta;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
*** gerenciar é utilizado sempre que tiver um CRUD (leitura, cadastro, alteração e exclusão), para não precisar fazer cada um separadamente;;;;;
